application_id,user_id,application_at,credit_score,approved,activated
1,100001,2026-05-31 13:12:00,636,1,1
2,100006,2026-05-20 16:32:00,570,1,1
3,100007,2026-05-20 09:00:00,602,0,0
4,100014,2026-06-10 15:45:00,805,1,1
5,100018,2026-05-23 13:05:00,601,0,0
6,100022,2026-06-09 04:43:00,850,1,1
7,100036,2026-05-28 22:26:00,563,0,0
8,100040,2026-06-03 02:20:00,561,1,1
9,100041,2026-05-24 08:55:00,515,1,1
10,100050,2026-05-22 17:51:00,613,0,0
11,100065,2026-05-13 17:30:00,698,1,1
12,100069,2026-06-01 02:32:00,639,0,0
13,100070,2026-06-10 10:13:00,687,1,1
14,100073,2026-05-06 08:34:00,615,0,0
15,100079,2026-06-05 16:15:00,691,1,1
16,100095,2026-06-01 18:42:00,570,1,0
17,100098,2026-05-29 10:01:00,638,1,1
18,100104,2026-05-23 23:06:00,573,1,0
19,100105,2026-06-07 20:12:00,696,0,0
20,100115,2026-05-22 01:04:00,703,1,1
21,100118,2026-05-06 07:37:00,651,1,1
22,100120,2026-05-19 22:02:00,519,1,1
23,100124,2026-06-05 12:29:00,665,1,0
24,100139,2026-05-06 00:47:00,704,1,1
25,100145,2026-06-02 22:05:00,694,1,1
26,100161,2026-05-30 08:35:00,678,1,1
27,100163,2026-05-23 21:28:00,490,0,0
28,100169,2026-06-02 01:31:00,532,1,1
29,100174,2026-05-24 20:34:00,579,1,1
30,100176,2026-05-19 09:54:00,701,1,1
31,100178,2026-05-17 06:52:00,565,1,1
32,100182,2026-05-10 13:17:00,636,0,0
33,100185,2026-05-27 00:27:00,646,0,0
34,100188,2026-05-25 11:46:00,700,1,1
35,100198,2026-05-13 01:04:00,729,1,1
36,100199,2026-06-14 20:09:00,668,0,0
37,100210,2026-05-25 08:47:00,606,0,0
38,100213,2026-05-15 02:27:00,682,0,0
39,100215,2026-05-15 05:29:00,669,1,1
40,100219,2026-05-23 03:39:00,605,1,1
41,100222,2026-06-05 15:39:00,657,0,0
42,100225,2026-05-15 16:13:00,558,1,1
43,100226,2026-05-17 08:30:00,615,1,0
44,100234,2026-05-29 08:43:00,611,1,1
45,100240,2026-05-08 17:46:00,664,1,0
46,100251,2026-05-07 10:53:00,713,1,1
47,100253,2026-06-03 15:48:00,689,1,1
48,100254,2026-05-25 06:26:00,661,0,0
49,100256,2026-05-29 02:54:00,555,1,0
50,100259,2026-05-30 19:00:00,752,1,0
51,100283,2026-06-06 02:13:00,722,1,0
52,100288,2026-06-15 15:29:00,609,1,1
53,100296,2026-05-09 15:13:00,666,0,0
54,100299,2026-05-05 03:24:00,696,0,0
55,100309,2026-06-06 10:26:00,671,1,1
56,100311,2026-05-13 21:56:00,618,1,1
57,100318,2026-05-19 16:19:00,692,1,1
58,100324,2026-06-12 08:35:00,590,1,1
59,100326,2026-05-20 00:55:00,661,0,0
60,100338,2026-06-02 07:05:00,706,1,1
61,100339,2026-05-15 05:38:00,695,1,1
62,100342,2026-05-09 13:50:00,586,0,0
63,100346,2026-05-25 08:12:00,680,0,0
64,100349,2026-05-24 14:25:00,658,0,0
65,100359,2026-05-11 14:44:00,624,0,0
66,100370,2026-05-12 10:10:00,636,1,1
67,100376,2026-06-09 02:18:00,591,0,0
68,100389,2026-05-17 06:08:00,527,1,1
69,100411,2026-05-08 02:18:00,649,0,0
70,100413,2026-05-18 09:48:00,690,1,1
71,100418,2026-05-31 15:10:00,671,1,1
72,100422,2026-05-20 22:08:00,587,1,1
