"experiment_group","age"
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,18
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
A,19
