user_id,experiment_group,assigned_at
100001,A,2026-05-24 03:00:00
100002,A,2026-05-28 03:00:00
100003,B,2026-05-27 01:00:00
100004,B,2026-05-05 07:00:00
100005,A,2026-05-10 13:00:00
100006,A,2026-05-18 16:00:00
100007,A,2026-05-17 02:00:00
100008,A,2026-05-22 17:00:00
100009,B,2026-05-07 21:00:00
100010,B,2026-05-07 21:00:00
100011,A,2026-05-06 23:00:00
100012,B,2026-05-14 02:00:00
100013,B,2026-05-13 07:00:00
100014,B,2026-05-25 14:00:00
100015,B,2026-05-25 18:00:00
100016,A,2026-05-07 00:00:00
100017,A,2026-05-23 09:00:00
100018,B,2026-05-15 07:00:00
100019,B,2026-05-24 17:00:00
100020,A,2026-05-07 23:00:00
100021,B,2026-05-23 04:00:00
100022,A,2026-05-25 16:00:00
100023,A,2026-05-09 20:00:00
100024,B,2026-05-03 19:00:00
100025,A,2026-05-16 16:00:00
100026,A,2026-05-22 17:00:00
100027,A,2026-05-10 17:00:00
100028,B,2026-05-23 09:00:00
100029,B,2026-05-26 16:00:00
100030,B,2026-05-18 17:00:00
100031,A,2026-05-17 18:00:00
100032,A,2026-05-16 08:00:00
100033,A,2026-05-08 20:00:00
100034,A,2026-05-16 18:00:00
100035,B,2026-05-12 18:00:00
100036,A,2026-05-27 21:00:00
100037,A,2026-05-21 20:00:00
100038,A,2026-05-09 15:00:00
100039,B,2026-05-18 20:00:00
100040,B,2026-05-25 04:00:00
100041,B,2026-05-15 07:00:00
100042,B,2026-05-12 00:00:00
100043,B,2026-05-14 14:00:00
100044,B,2026-05-04 09:00:00
100045,A,2026-05-13 23:00:00
100046,A,2026-05-11 05:00:00
100047,A,2026-05-04 04:00:00
100048,B,2026-05-28 20:00:00
100049,B,2026-05-15 14:00:00
100050,B,2026-05-20 15:00:00
100051,B,2026-05-03 10:00:00
100052,B,2026-05-10 20:00:00
100053,B,2026-05-25 19:00:00
100054,A,2026-05-14 11:00:00
100055,A,2026-05-21 15:00:00
100056,B,2026-05-20 00:00:00
100057,B,2026-05-09 23:00:00
100058,B,2026-05-18 10:00:00
100059,B,2026-05-23 15:00:00
100060,B,2026-05-15 01:00:00
100061,A,2026-05-01 23:00:00
100062,A,2026-05-04 04:00:00
100063,A,2026-05-11 20:00:00
100064,A,2026-05-17 04:00:00
100065,A,2026-05-06 21:00:00
100066,A,2026-05-28 05:00:00
100067,A,2026-05-13 16:00:00
100068,B,2026-05-17 14:00:00
