"experiment_group","user_id","count_transactions","avg_revenue","sum_revenue"
A,100001,2,34.16,68.33
A,100002,0,0,0
A,100005,0,0,0
A,100006,9,17.07,153.67
A,100007,0,0,0
A,100008,0,0,0
A,100011,0,0,0
A,100016,0,0,0
A,100017,0,0,0
A,100020,0,0,0
A,100022,1,9.49,9.49
A,100023,0,0,0
A,100025,0,0,0
A,100026,0,0,0
A,100027,0,0,0
A,100031,0,0,0
A,100032,0,0,0
A,100033,0,0,0
A,100034,0,0,0
A,100036,0,0,0
A,100037,0,0,0
A,100038,0,0,0
A,100045,0,0,0
A,100046,0,0,0
A,100047,0,0,0
A,100054,0,0,0
A,100055,0,0,0
A,100061,0,0,0
A,100062,0,0,0
A,100063,0,0,0
A,100064,0,0,0
A,100065,2,12.74,25.48
A,100066,0,0,0
A,100067,0,0,0
A,100070,1,16.54,16.54
A,100071,0,0,0
A,100072,0,0,0
A,100074,0,0,0
A,100077,0,0,0
A,100079,1,24.04,24.04
A,100086,0,0,0
A,100087,0,0,0
A,100089,0,0,0
A,100090,0,0,0
A,100091,0,0,0
A,100092,0,0,0
A,100098,3,18.30,54.89
A,100100,0,0,0
A,100101,0,0,0
A,100105,0,0,0
A,100106,0,0,0
A,100107,0,0,0
A,100116,0,0,0
A,100117,0,0,0
A,100119,0,0,0
A,100121,0,0,0
A,100124,0,0,0
A,100126,0,0,0
A,100128,0,0,0
A,100136,0,0,0
A,100137,0,0,0
A,100138,0,0,0
A,100139,1,48.54,48.54
A,100140,0,0,0
A,100145,2,31.24,62.48
A,100146,0,0,0
A,100149,0,0,0
A,100150,0,0,0
A,100151,0,0,0
A,100152,0,0,0
A,100153,0,0,0
A,100154,0,0,0
A,100155,0,0,0
A,100156,0,0,0
A,100157,0,0,0
A,100158,0,0,0
A,100159,0,0,0
A,100160,0,0,0
A,100164,0,0,0
A,100165,0,0,0
A,100170,0,0,0
A,100175,0,0,0
A,100177,0,0,0
A,100179,0,0,0
A,100180,0,0,0
A,100181,0,0,0
A,100182,0,0,0
A,100183,0,0,0
A,100186,0,0,0
A,100188,6,19.79,118.71
A,100189,0,0,0
A,100190,0,0,0
A,100194,0,0,0
A,100196,0,0,0
A,100197,0,0,0
A,100198,4,26.89,107.54
A,100201,0,0,0
A,100202,0,0,0
A,100203,0,0,0
A,100204,0,0,0
A,100205,0,0,0
A,100206,0,0,0
A,100208,0,0,0
A,100210,0,0,0
A,100211,0,0,0
A,100213,0,0,0
A,100218,0,0,0
A,100219,1,97.99,97.99
A,100221,0,0,0
A,100223,0,0,0
A,100226,0,0,0
A,100228,0,0,0
A,100229,0,0,0
A,100231,0,0,0
A,100233,0,0,0
A,100236,0,0,0
A,100238,0,0,0
A,100241,0,0,0
A,100244,0,0,0
A,100245,0,0,0
A,100246,0,0,0
A,100247,0,0,0
A,100253,4,32.39,129.55
A,100255,0,0,0
A,100257,0,0,0
A,100260,0,0,0
A,100262,0,0,0
A,100265,0,0,0
A,100266,0,0,0
A,100273,0,0,0
A,100276,0,0,0
A,100277,0,0,0
A,100279,0,0,0
A,100284,0,0,0
A,100285,0,0,0
A,100288,2,20.72,41.44
A,100291,0,0,0
A,100292,0,0,0
A,100293,0,0,0
A,100294,0,0,0
A,100295,0,0,0
A,100296,0,0,0
A,100298,0,0,0
A,100299,0,0,0
A,100300,0,0,0
A,100305,0,0,0
A,100307,0,0,0
A,100311,6,30.50,183.00
A,100312,0,0,0
A,100314,0,0,0
A,100317,0,0,0
A,100321,0,0,0
A,100325,0,0,0
A,100326,0,0,0
A,100330,0,0,0
A,100331,0,0,0
A,100337,0,0,0
A,100342,0,0,0
A,100343,0,0,0
A,100346,0,0,0
A,100350,0,0,0
A,100352,0,0,0
A,100353,0,0,0
A,100358,0,0,0
A,100360,0,0,0
A,100361,0,0,0
A,100362,0,0,0
A,100363,0,0,0
A,100364,0,0,0
A,100370,1,7.80,7.80
A,100371,0,0,0
A,100373,0,0,0
A,100374,0,0,0
A,100376,0,0,0
A,100377,0,0,0
A,100381,0,0,0
A,100384,0,0,0
A,100386,0,0,0
A,100389,1,6.55,6.55
A,100393,0,0,0
A,100394,0,0,0
A,100395,0,0,0
A,100398,0,0,0
A,100401,0,0,0
A,100404,0,0,0
A,100405,0,0,0
A,100406,0,0,0
A,100408,0,0,0
A,100410,0,0,0
A,100411,0,0,0
A,100412,0,0,0
A,100413,2,19.50,39.00
A,100414,0,0,0
A,100415,0,0,0
A,100416,0,0,0
A,100417,0,0,0
A,100419,0,0,0
A,100421,0,0,0
A,100423,0,0,0
A,100424,0,0,0
A,100427,0,0,0
A,100428,0,0,0
A,100431,0,0,0
A,100435,0,0,0
A,100436,0,0,0
A,100437,0,0,0
A,100440,0,0,0
A,100442,0,0,0
A,100444,0,0,0
A,100448,0,0,0
A,100449,0,0,0
A,100454,0,0,0
A,100456,0,0,0
A,100457,0,0,0
A,100461,0,0,0
A,100463,0,0,0
A,100467,0,0,0
A,100468,0,0,0
A,100469,0,0,0
A,100470,0,0,0
A,100471,0,0,0
A,100474,0,0,0
A,100475,0,0,0
A,100477,0,0,0
A,100479,0,0,0
A,100480,0,0,0
A,100481,0,0,0
A,100482,0,0,0
A,100485,0,0,0
A,100487,0,0,0
A,100489,0,0,0
A,100490,0,0,0
A,100491,0,0,0
A,100492,0,0,0
A,100493,0,0,0
A,100495,0,0,0
A,100496,0,0,0
A,100497,0,0,0
A,100500,0,0,0
A,100501,0,0,0
A,100504,0,0,0
A,100505,5,34.97,174.86
A,100506,0,0,0
A,100508,0,0,0
A,100511,4,25.10,100.40
A,100512,0,0,0
A,100513,7,14.81,103.64
A,100515,0,0,0
A,100520,0,0,0
A,100522,0,0,0
A,100523,0,0,0
A,100524,7,25.54,178.77
A,100525,0,0,0
A,100528,0,0,0
A,100529,0,0,0
A,100530,0,0,0
A,100532,0,0,0
A,100533,0,0,0
A,100537,0,0,0
A,100538,0,0,0
A,100542,0,0,0
A,100544,0,0,0
A,100545,0,0,0
A,100548,0,0,0
A,100551,0,0,0
A,100552,0,0,0
A,100553,0,0,0
A,100556,0,0,0
A,100557,0,0,0
A,100559,3,22.14,66.43
A,100560,0,0,0
A,100561,0,0,0
A,100567,0,0,0
A,100568,0,0,0
A,100569,0,0,0
A,100571,0,0,0
A,100572,0,0,0
A,100574,0,0,0
A,100576,0,0,0
A,100580,0,0,0
A,100583,0,0,0
A,100586,0,0,0
A,100587,0,0,0
A,100590,0,0,0
A,100592,0,0,0
A,100593,0,0,0
A,100595,0,0,0
A,100596,0,0,0
A,100597,0,0,0
A,100599,0,0,0
A,100600,0,0,0
A,100601,0,0,0
A,100602,0,0,0
A,100604,0,0,0
A,100605,0,0,0
A,100609,0,0,0
A,100610,0,0,0
A,100615,0,0,0
A,100617,1,60.20,60.20
A,100619,0,0,0
A,100620,0,0,0
A,100623,0,0,0
A,100630,0,0,0
A,100632,4,14.05,56.21
A,100633,3,44.23,132.70
A,100635,0,0,0
A,100636,0,0,0
A,100637,0,0,0
A,100638,0,0,0
A,100641,0,0,0
A,100642,0,0,0
A,100644,0,0,0
A,100645,0,0,0
A,100647,0,0,0
A,100648,0,0,0
A,100649,0,0,0
A,100651,0,0,0
A,100652,0,0,0
A,100655,0,0,0
A,100660,0,0,0
A,100665,0,0,0
A,100666,0,0,0
A,100669,0,0,0
A,100670,0,0,0
A,100672,0,0,0
A,100673,0,0,0
A,100674,0,0,0
A,100677,0,0,0
A,100680,0,0,0
A,100681,0,0,0
A,100684,0,0,0
A,100685,0,0,0
A,100686,0,0,0
A,100687,0,0,0
A,100689,0,0,0
A,100692,0,0,0
A,100696,0,0,0
A,100697,0,0,0
A,100698,0,0,0
A,100699,0,0,0
A,100704,0,0,0
A,100706,0,0,0
A,100708,0,0,0
A,100714,0,0,0
A,100715,0,0,0
A,100716,0,0,0
A,100718,0,0,0
A,100719,0,0,0
A,100720,0,0,0
A,100721,0,0,0
A,100722,0,0,0
A,100724,0,0,0
A,100725,0,0,0
A,100727,0,0,0
A,100728,0,0,0
A,100729,0,0,0
A,100730,0,0,0
A,100731,0,0,0
A,100732,0,0,0
A,100734,0,0,0
A,100736,0,0,0
A,100737,0,0,0
A,100738,0,0,0
A,100739,0,0,0
A,100740,0,0,0
A,100741,0,0,0
A,100742,0,0,0
A,100743,0,0,0
A,100744,0,0,0
A,100746,0,0,0
A,100747,1,6.52,6.52
A,100749,0,0,0
A,100751,0,0,0
A,100752,1,16.41,16.41
A,100755,0,0,0
A,100758,0,0,0
A,100759,0,0,0
A,100760,0,0,0
A,100764,0,0,0
A,100765,0,0,0
A,100766,0,0,0
A,100767,0,0,0
A,100768,0,0,0
A,100769,0,0,0
A,100773,0,0,0
A,100775,0,0,0
A,100777,0,0,0
A,100779,0,0,0
A,100781,0,0,0
A,100782,0,0,0
A,100783,0,0,0
A,100786,0,0,0
A,100787,0,0,0
A,100788,0,0,0
A,100790,0,0,0
A,100791,0,0,0
A,100794,0,0,0
A,100795,0,0,0
A,100796,0,0,0
A,100797,0,0,0
A,100800,0,0,0
A,100801,0,0,0
A,100802,0,0,0
A,100803,0,0,0
A,100806,0,0,0
A,100812,0,0,0
A,100815,4,52.81,211.24
A,100816,0,0,0
A,100820,0,0,0
A,100823,0,0,0
A,100826,2,44.73,89.46
A,100828,0,0,0
A,100829,0,0,0
A,100830,0,0,0
A,100833,0,0,0
A,100834,0,0,0
A,100835,0,0,0
A,100838,0,0,0
A,100839,0,0,0
A,100840,1,94.28,94.28
A,100842,3,28.66,85.98
A,100844,0,0,0
A,100846,0,0,0
A,100848,0,0,0
A,100849,0,0,0
A,100851,0,0,0
A,100854,1,6.94,6.94
A,100859,0,0,0
A,100861,0,0,0
A,100862,0,0,0
A,100863,0,0,0
A,100868,2,46.64,93.28
A,100871,0,0,0
A,100872,0,0,0
A,100873,0,0,0
A,100876,0,0,0
A,100880,0,0,0
A,100883,0,0,0
A,100885,0,0,0
A,100888,0,0,0
A,100889,0,0,0
A,100895,0,0,0
A,100896,0,0,0
A,100900,0,0,0
A,100902,0,0,0
A,100904,0,0,0
A,100905,0,0,0
A,100907,0,0,0
A,100910,0,0,0
A,100911,0,0,0
A,100921,0,0,0
A,100926,0,0,0
A,100928,0,0,0
A,100929,0,0,0
A,100931,0,0,0
A,100933,0,0,0
A,100934,0,0,0
A,100936,0,0,0
A,100937,0,0,0
A,100939,0,0,0
A,100942,0,0,0
A,100945,0,0,0
A,100946,0,0,0
A,100947,0,0,0
A,100950,0,0,0
A,100952,0,0,0
A,100953,0,0,0
A,100954,0,0,0
A,100955,0,0,0
A,100960,0,0,0
A,100961,0,0,0
A,100966,2,8.41,16.83
A,100972,0,0,0
A,100973,0,0,0
A,100974,0,0,0
A,100978,2,4.52,9.04
A,100980,0,0,0
A,100982,0,0,0
A,100983,0,0,0
A,100985,0,0,0
A,100986,0,0,0
A,100988,0,0,0
A,100989,0,0,0
A,100990,0,0,0
A,100993,0,0,0
A,100999,0,0,0
A,101000,2,41.23,82.47
A,101001,0,0,0
A,101002,0,0,0
A,101006,0,0,0
A,101007,0,0,0
A,101008,0,0,0
A,101009,0,0,0
A,101010,0,0,0
A,101011,0,0,0
A,101014,0,0,0
A,101015,0,0,0
A,101016,0,0,0
A,101019,0,0,0
A,101022,0,0,0
A,101023,0,0,0
A,101027,0,0,0
A,101028,0,0,0
A,101029,0,0,0
A,101033,0,0,0
A,101034,0,0,0
A,101036,0,0,0
A,101037,0,0,0
A,101038,0,0,0
A,101039,0,0,0
A,101040,0,0,0
A,101044,0,0,0
A,101045,0,0,0
A,101051,0,0,0
A,101052,0,0,0
A,101058,0,0,0
A,101062,0,0,0
A,101064,0,0,0
A,101066,0,0,0
A,101070,0,0,0
A,101073,0,0,0
A,101077,0,0,0
A,101080,0,0,0
A,101084,0,0,0
A,101086,0,0,0
A,101090,0,0,0
A,101091,0,0,0
A,101094,7,21.90,153.28
A,101095,0,0,0
A,101097,0,0,0
A,101100,0,0,0
A,101102,0,0,0
A,101103,0,0,0
A,101105,0,0,0
A,101106,0,0,0
A,101107,0,0,0
A,101112,0,0,0
A,101113,0,0,0
A,101115,0,0,0
A,101116,0,0,0
A,101117,0,0,0
A,101122,0,0,0
A,101123,0,0,0
A,101124,0,0,0
A,101125,0,0,0
A,101126,0,0,0
A,101130,0,0,0
A,101133,0,0,0
A,101134,0,0,0
A,101135,5,36.18,180.90
A,101136,0,0,0
A,101137,0,0,0
A,101138,0,0,0
A,101139,0,0,0
A,101140,0,0,0
A,101141,0,0,0
A,101142,0,0,0
A,101145,0,0,0
A,101146,0,0,0
A,101147,0,0,0
A,101149,0,0,0
A,101152,0,0,0
A,101153,0,0,0
A,101154,0,0,0
A,101157,3,32.90,98.71
A,101162,0,0,0
A,101164,0,0,0
A,101166,0,0,0
A,101167,0,0,0
A,101170,0,0,0
A,101172,0,0,0
A,101173,0,0,0
A,101176,4,80.44,321.78
A,101177,1,6.87,6.87
A,101179,0,0,0
A,101180,0,0,0
A,101181,0,0,0
A,101182,0,0,0
A,101183,0,0,0
A,101184,0,0,0
A,101186,0,0,0
A,101187,0,0,0
A,101188,0,0,0
A,101189,0,0,0
A,101190,0,0,0
A,101191,0,0,0
A,101193,1,9.01,9.01
A,101195,0,0,0
A,101196,0,0,0
A,101197,0,0,0
A,101199,0,0,0
A,101200,0,0,0
A,101205,0,0,0
A,101209,0,0,0
A,101211,0,0,0
A,101212,0,0,0
A,101214,0,0,0
A,101217,0,0,0
A,101219,0,0,0
A,101220,0,0,0
A,101226,0,0,0
A,101227,0,0,0
A,101229,0,0,0
A,101233,0,0,0
A,101235,0,0,0
A,101237,0,0,0
A,101241,0,0,0
A,101242,0,0,0
A,101247,0,0,0
A,101249,0,0,0
A,101252,0,0,0
A,101255,0,0,0
A,101256,0,0,0
A,101257,0,0,0
A,101258,0,0,0
A,101259,0,0,0
A,101261,0,0,0
A,101263,0,0,0
A,101264,0,0,0
A,101265,0,0,0
A,101267,0,0,0
A,101268,0,0,0
A,101269,0,0,0
A,101271,0,0,0
A,101274,0,0,0
A,101275,0,0,0
A,101278,0,0,0
A,101279,0,0,0
A,101280,0,0,0
A,101281,0,0,0
A,101282,0,0,0
A,101283,0,0,0
A,101284,0,0,0
A,101288,0,0,0
A,101289,0,0,0
A,101292,0,0,0
A,101294,0,0,0
A,101295,0,0,0
A,101297,0,0,0
A,101298,0,0,0
A,101299,0,0,0
A,101300,1,10.22,10.22
A,101301,0,0,0
A,101302,0,0,0
A,101303,0,0,0
A,101304,0,0,0
A,101306,9,43.06,387.58
A,101307,0,0,0
