user_id,registration_date,age,city,device,is_new_user
100001,2025-12-27,33,,iOS,0
100002,2025-12-04,47,Нижний Новгород,iOS,0
100003,2025-01-13,40,Казань,iOS,0
100004,2025-09-09,28,Самара,iOS,0
100005,2025-12-16,26,Нижний Новгород,Android,0
100006,2026-02-12,40,Санкт-Петербург,Android,0
100007,2025-08-03,24,Нижний Новгород,iOS,0
100008,2025-09-19,41,Санкт-Петербург,Android,0
100009,2025-12-08,27,Казань,iOS,0
100010,2025-10-27,37,Казань,iOS,0
100011,2025-02-04,38,Санкт-Петербург,Android,0
100012,2025-05-23,25,Самара,iOS,0
100013,2026-01-22,18,Новосибирск,Android,0
100014,2026-02-22,34,Екатеринбург,Android,0
100015,2026-01-16,29,Москва,Android,0
100016,2025-04-10,44,Москва,iOS,0
100017,2025-07-02,21,Москва,iOS,0
100018,2025-12-27,44,Нижний Новгород,iOS,0
100019,2025-09-01,38,Казань,Android,0
100020,2025-05-13,43,Нижний Новгород,iOS,0
100021,2024-12-19,42,Москва,iOS,0
100022,2025-07-20,23,Москва,Android,0
100023,2025-09-11,32,Нижний Новгород,iOS,0
100024,2025-07-29,42,Новосибирск,Android,0
100025,2025-12-15,51,Нижний Новгород,iOS,0
100026,2026-03-03,36,Казань,Android,1
100027,2025-03-18,53,Новосибирск,iOS,0
100028,2025-06-04,53,Москва,iOS,0
100029,2025-02-18,39,Нижний Новгород,Android,0
100030,2025-08-27,28,Новосибирск,Android,0
100031,2025-08-21,24,Санкт-Петербург,iOS,0
100032,2025-02-10,18,Екатеринбург,iOS,0
100033,2025-07-28,31,Нижний Новгород,iOS,0
100034,2026-03-22,18,Санкт-Петербург,Android,1
100035,2026-02-10,26,Новосибирск,iOS,0
100036,2025-05-08,36,Казань,Android,0
100037,2025-05-18,24,Самара,iOS,0
100038,2025-08-03,39,Казань,Android,0
100039,2025-10-28,51,Нижний Новгород,iOS,0
100040,2026-01-11,40,Новосибирск,iOS,0
100041,2025-04-27,22,Новосибирск,iOS,0
100042,2025-12-13,38,Санкт-Петербург,Android,0
100043,2026-03-16,27,Москва,iOS,1
100044,2026-03-04,28,Новосибирск,Android,1
100045,2025-07-19,38,Новосибирск,Android,0
100046,2026-03-04,22,Казань,Android,1
100047,2025-06-05,42,Нижний Новгород,iOS,0
100048,2025-07-09,18,Нижний Новгород,Android,0
100049,2025-11-02,35,Москва,iOS,0
100050,2025-09-13,50,Москва,iOS,0
100051,2025-06-29,21,Самара,iOS,0
100052,2026-03-21,45,Казань,iOS,1
100053,2026-03-11,39,Нижний Новгород,iOS,1
100054,2025-04-27,41,Санкт-Петербург,Android,0
100055,2026-02-20,38,Новосибирск,Android,0
100056,2025-05-05,40,Нижний Новгород,Android,0
100057,2026-04-09,25,Екатеринбург,Android,1
100058,2026-02-22,31,Казань,iOS,0
100059,2024-12-19,18,Казань,iOS,0
100060,2026-02-05,43,Екатеринбург,Android,0
100061,2025-12-10,24,Самара,iOS,0
100062,2025-12-06,32,Новосибирск,Android,0
100063,2025-03-06,24,Екатеринбург,iOS,0
100064,2025-09-22,35,Санкт-Петербург,iOS,0
100065,2026-03-15,40,Новосибирск,iOS,1
100066,2025-02-13,41,Екатеринбург,Android,0
100067,2025-07-22,39,Казань,Android,0
100068,2025-05-01,31,Санкт-Петербург,Android,0
100069,2025-04-18,34,Новосибирск,Android,0
100070,2025-07-10,49,Новосибирск,iOS,0
100071,2025-04-24,32,Самара,iOS,0
100072,2025-04-02,38,Казань,Android,0
100073,2025-03-16,61,Нижний Новгород,iOS,0
100074,2025-09-11,32,Казань,Android,0
100075,2025-01-27,39,Самара,Android,0
100076,2024-12-29,47,Казань,Android,0
100077,2025-03-17,23,Новосибирск,iOS,0
100078,2026-04-20,31,Самара,Android,1
100079,2025-10-12,30,Новосибирск,iOS,0
100080,2025-11-18,19,Нижний Новгород,iOS,0
100081,2025-03-25,26,Екатеринбург,Android,0
100082,2025-07-20,44,Екатеринбург,iOS,0
100083,2026-01-24,38,Нижний Новгород,iOS,0
100084,2025-08-12,29,Казань,Android,0
100085,2025-08-19,27,Санкт-Петербург,Android,0
100086,2026-01-06,27,Самара,Android,0
100087,2026-01-30,36,Москва,Android,0
100088,2025-03-23,26,Санкт-Петербург,iOS,0
100089,2025-04-01,49,Москва,Android,0
100090,2025-10-29,54,Екатеринбург,Android,0
100091,2025-11-16,47,Нижний Новгород,Android,0
100092,2025-10-29,24,Москва,Android,0
100093,2026-02-21,39,Новосибирск,Android,0
100094,2025-11-16,21,Санкт-Петербург,Android,0
100095,2025-05-12,35,Нижний Новгород,iOS,0
100096,2025-09-29,35,Самара,iOS,0
100097,2026-01-08,21,Новосибирск,Android,0
100098,2024-12-27,32,Екатеринбург,Android,0
100099,2026-02-20,54,Новосибирск,Android,0
100100,2026-02-05,18,Екатеринбург,iOS,0
100101,2025-04-04,44,Нижний Новгород,Android,0
100102,2025-02-14,45,Казань,iOS,0
100103,2025-02-24,34,Нижний Новгород,Android,0
100104,2025-03-05,37,Екатеринбург,iOS,0
100105,2026-02-20,42,Казань,Android,0
100106,2026-03-18,26,Санкт-Петербург,iOS,1
100107,2025-06-05,27,Казань,iOS,0
100108,2025-10-26,20,Екатеринбург,iOS,0
100109,2025-08-18,46,Самара,Android,0
100110,2025-05-18,19,Самара,iOS,0
100111,2025-01-26,25,Нижний Новгород,iOS,0
100112,2025-07-15,31,Нижний Новгород,iOS,0
100113,2025-03-16,34,Санкт-Петербург,iOS,0
100114,2025-01-15,39,Москва,iOS,0
100115,2025-10-12,40,Нижний Новгород,Android,0
100116,2025-02-17,32,Нижний Новгород,Android,0
100117,2025-09-12,45,Нижний Новгород,iOS,0
100118,2025-04-26,56,Нижний Новгород,Android,0
100119,2025-03-29,66,Нижний Новгород,Android,0
100120,2025-12-31,44,Санкт-Петербург,Android,0
100121,2025-02-20,57,Екатеринбург,iOS,0
100122,2025-01-04,26,Новосибирск,iOS,0
100123,2025-10-24,45,Санкт-Петербург,Android,0
100124,2025-05-10,41,Нижний Новгород,iOS,0
100125,2026-01-18,29,Екатеринбург,iOS,0
100126,2025-01-27,45,Казань,Android,0
100127,2025-09-17,37,Самара,Android,0
100128,2025-01-16,36,Москва,Android,0
100129,2026-04-21,35,Новосибирск,iOS,1
100130,2025-09-05,41,Санкт-Петербург,Android,0
100131,2025-12-11,25,Казань,Android,0
100132,2025-01-22,28,Екатеринбург,Android,0
100133,2025-08-03,21,Екатеринбург,Android,0
100134,2026-02-04,27,Нижний Новгород,iOS,0
100135,2025-08-01,36,Москва,iOS,0
100136,2025-10-07,30,Нижний Новгород,iOS,0
100137,2025-08-13,39,Нижний Новгород,iOS,0
100138,2026-03-14,29,Москва,iOS,1
100139,2026-02-23,25,Москва,iOS,0
100140,2025-08-20,36,Москва,iOS,0
100141,2025-05-31,30,Санкт-Петербург,Android,0
100142,2025-11-09,45,Самара,iOS,0
100143,2026-02-20,45,Санкт-Петербург,Android,0
100144,2026-03-03,32,Самара,Android,1
100145,2025-06-18,50,Санкт-Петербург,Android,0
100146,2026-01-09,48,Новосибирск,iOS,0
100147,2025-11-13,41,Казань,Android,0
100148,2025-04-02,29,Нижний Новгород,Android,0
100149,2025-06-15,56,Москва,iOS,0
100150,2026-04-28,49,Новосибирск,iOS,1
100151,2025-07-26,36,Нижний Новгород,Android,0
100152,2025-06-18,31,Казань,iOS,0
100153,2025-12-11,28,Екатеринбург,Android,0
100154,2025-12-09,40,Нижний Новгород,iOS,0
100155,2025-04-07,46,Санкт-Петербург,Android,0
100156,2025-04-17,18,Нижний Новгород,Android,0
100157,2025-02-01,31,Екатеринбург,iOS,0
100158,2025-10-01,33,Санкт-Петербург,Android,0
100159,2026-02-05,29,Москва,Android,0
100160,2025-11-07,28,Самара,Android,0
100161,2025-01-25,34,Санкт-Петербург,iOS,0
100162,2025-03-16,32,Самара,Android,0
100163,2025-04-10,18,Екатеринбург,iOS,0
100164,2025-05-10,38,Новосибирск,iOS,0
100165,2025-10-24,18,Санкт-Петербург,iOS,0
100166,2025-12-19,24,Москва,iOS,0
100167,2025-08-28,37,Москва,iOS,0
100168,2025-05-17,28,Самара,iOS,0
100169,2025-01-15,31,Москва,iOS,0
100170,2025-07-13,38,Санкт-Петербург,iOS,0
100171,2025-07-20,29,Новосибирск,Android,0
100172,2025-11-16,42,Казань,Android,0
100173,2024-12-23,49,Новосибирск,Android,0
100174,2025-01-08,28,Новосибирск,Android,0
100175,2025-08-30,37,Нижний Новгород,Android,0
100176,2026-01-28,33,Москва,iOS,0
100177,2025-10-18,41,Нижний Новгород,iOS,0
100178,2025-08-08,52,Москва,iOS,0
100179,2025-01-18,35,Новосибирск,iOS,0
100180,2025-03-08,31,Новосибирск,Android,0
100181,2026-04-15,20,Нижний Новгород,iOS,1
100182,2025-06-25,31,Санкт-Петербург,iOS,0
100183,2026-03-13,40,Новосибирск,iOS,1
100184,2026-03-08,37,Самара,Android,1
100185,2025-10-02,43,Казань,Android,0
100186,2026-01-12,31,Санкт-Петербург,Android,0
100187,2025-11-04,42,Казань,Android,0
100188,2026-02-21,20,Нижний Новгород,Android,0
100189,2025-05-10,38,Нижний Новгород,Android,0
100190,2025-05-30,41,Екатеринбург,iOS,0
100191,2025-02-14,21,Санкт-Петербург,iOS,0
100192,2025-02-19,27,Санкт-Петербург,Android,0
100193,2025-02-12,34,Екатеринбург,Android,0
100194,2025-06-05,30,Нижний Новгород,Android,0
100195,2025-01-28,40,Самара,iOS,0
100196,2025-09-13,46,Самара,Android,0
100197,2025-12-05,28,Екатеринбург,iOS,0
100198,2025-02-04,50,Новосибирск,Android,0
100199,2026-03-07,37,Москва,iOS,1
100200,2025-04-19,34,Москва,iOS,0
100201,2025-07-24,36,Новосибирск,Android,0
100202,2025-03-19,26,Екатеринбург,iOS,0
100203,2025-10-14,28,Новосибирск,iOS,0
100204,2025-04-03,33,Санкт-Петербург,iOS,0
100205,2026-03-10,44,Москва,Android,1
100206,2026-02-18,40,Казань,Android,0
100207,2025-06-30,43,Самара,Android,0
100208,2025-12-08,39,Санкт-Петербург,Android,0
100209,2025-07-03,40,Самара,Android,0
100210,2024-12-28,37,Казань,Android,0
100211,2025-04-29,51,Екатеринбург,Android,0
100212,2025-05-27,25,Санкт-Петербург,iOS,0
100213,2024-12-18,40,Екатеринбург,iOS,0
100214,2025-02-16,33,Новосибирск,Android,0
100215,2025-07-12,22,Екатеринбург,Android,0
100216,2026-02-23,49,Казань,Android,0
100217,2025-03-14,42,Казань,iOS,0
100218,2025-04-02,43,Екатеринбург,Android,0
